,CellNo,Condition,MAPbI3_AVAI,MAPbI3_MACl,MAPbI3,init_Voc (V),init_Jsc(mA/cm2),init_FF (%),init_PCE (%),init_Rseries (ohm),init_Rshunt (ohm),fin_Voc (V),fin_Jsc(mA/cm2),fin_FF (%),fin_PCE (%),fin_Rseries (ohm),fin_Rshunt (ohm),max_PCE (%),Obj1_maxPCE,Obj2_deltaPCE,batch
22,23,6,0,100,0,0.774513895,2.934783536,38.47705163,0.874595168,1143.686777,7283.581109,0.827995937,5.64821348,31.06406662,1.452772523,505.4250207,2473.525032,1.467996598,1.467996598,0.015224075,1
23,25,7,20,0,80,0.852510521,16.51691024,68.13959206,9.594626767,99.40957242,-2053.571233,0.768311457,15.55179816,54.50154361,6.5121849,164.4026506,15971.42983,9.594626767,9.594626767,3.082441867,1
24,27,7,20,0,80,0.835784476,18.22932137,63.04644188,9.605619582,100.1143793,-3218.160997,0.749274469,17.83000869,47.54637779,6.351991764,145.9137473,8494.374346,9.605619582,9.605619582,3.253627818,1
25,28,8,20,20,60,0.845104816,15.51348354,72.17464355,9.462470827,122.9273252,-1299.839173,0.813171636,17.11108415,57.55716283,8.008646548,138.7812729,-6613.377772,9.462470827,9.462470827,1.453824279,1
26,29,8,20,20,60,0.846541919,17.27639816,66.45510774,9.719189262,118.084169,-1188.645814,0.8281266,18.20976633,60.35026123,9.100814489,123.3768574,-3734.477384,9.852925642,9.852925642,0.752111153,1
27,30,8,20,20,60,0.857494471,18.07348177,65.99069608,10.22717914,106.258742,-1378.292349,0.846363206,18.54794196,61.20120971,9.607546826,108.0534937,-16254.29358,10.22717914,10.22717914,0.619632314,1
28,31,8,20,20,60,0.855982439,18.16871236,65.08754809,10.12247973,104.3875282,-2571.127133,0.836097684,18.28326829,60.54239623,9.254872901,114.971308,-36810.63003,10.12247973,10.12247973,0.867606826,1
29,33,9,20,40,40,0.871804387,11.14264667,100.0033958,9.714538123,128.3996758,-1382.232882,0.84870106,15.91397326,66.02944882,8.91807336,132.2994369,-1968.617396,9.714538123,9.714538123,0.796464763,1
30,35,9,20,40,40,0.874734738,9.888060961,113.1791694,9.789353497,109.7922226,-2247.65958,0.850411451,16.10172069,67.76240632,9.278765698,118.4748226,-1529.840043,9.958807234,9.958807234,0.680041536,1
31,38,10,20,60,20,0.874697861,7.759459465,139.0378977,9.436755996,95.5050941,-5046.049953,0.86679371,14.78935761,73.17739174,9.380845594,144.3646578,-949.7187433,9.9222082,9.9222082,0.541362606,1
32,39,10,20,60,20,0.877809052,8.278244672,129.8186992,9.433558926,88.27255808,-4472.549419,0.867908936,16.06760587,67.08057741,9.354533235,124.1984769,-2068.742331,9.975170304,9.975170304,0.620637069,1
33,41,11,20,80,0,0.880937107,6.099703683,140.716915,7.561360548,74.6772857,112555.5489,0.849240994,13.08785825,73.04188087,8.118419356,162.2906757,-1554.450517,9.187184971,9.187184971,1.068765616,1
34,42,11,20,80,0,0.876428859,5.848449097,148.6105075,7.617402445,89.41558969,258575.4585,0.855151834,12.64137221,76.69436058,8.290884804,165.8786259,-1342.408134,9.172890469,9.172890469,0.882005664,1
35,43,11,20,80,0,0.87741029,5.830084284,145.8704923,7.461824072,91.33796386,-210774.9524,0.856902414,12.22181333,80.61141503,8.442353965,150.0745032,-1415.488262,9.182424919,9.182424919,0.740070954,1
36,44,12,40,0,60,0.830116811,18.64731429,55.89388483,8.652065437,107.9327206,5491.135185,0.842168421,18.9355867,57.76610418,9.211933575,112.464397,10200.65093,9.617626967,9.617626967,0.405693392,1
37,45,12,40,0,60,0.851429748,16.64669906,57.32589517,8.125082767,126.6461315,-1342.008649,0.81768174,18.0094674,49.60908626,7.305440313,143.2873635,-14046.04736,8.125082767,8.125082767,0.819642454,1
38,46,12,40,0,60,0.833340775,18.3609901,56.21362921,8.601225887,104.5242446,-3287.074946,0.824723838,17.77111676,52.4373734,7.685359685,136.3028866,-8374.279398,8.601225887,8.601225887,0.915866202,1
39,47,12,40,0,60,0.820358693,18.25117024,56.3802791,8.441540767,110.9157525,11747.16788,0.837170231,17.85204932,54.42402312,8.133781419,134.4554622,9174.386207,8.732154871,8.732154871,0.598373452,1
40,48,13,40,20,40,0.827041749,18.33218003,57.62856061,8.737341675,116.6982182,109011.4452,0.845853098,17.90486755,55.74179952,8.442032928,141.0491193,12248.33284,9.274016043,9.274016043,0.831983116,1
41,51,13,40,20,40,0.831603623,18.54059724,58.00050566,8.942766105,117.9720982,26704.81361,0.844944867,18.2134014,56.14894785,8.640941274,127.8035954,63569.04917,9.357861274,9.357861274,0.716920001,1
42,52,14,40,40,20,0.828693037,17.15855991,67.50617503,9.598823941,97.34450668,-579.5425121,0.84617422,18.54465093,58.87364999,9.238456413,124.9430587,-3255.198897,9.743099667,9.743099667,0.504643254,1
43,53,14,40,40,20,0.847804543,15.24450655,71.37764809,9.225105562,105.224212,-777.7862443,0.840827771,13.40107359,74.49823097,8.394456817,119.8574101,-1221.174274,9.225105562,9.225105562,0.830648745,1
44,54,14,40,40,20,0.868353473,12.17990666,92.22117043,9.75373912,117.077649,-3344.44284,0.853712658,15.58582633,64.31333835,8.557415253,142.9545049,-703.3496022,9.75373912,9.75373912,1.196323867,1
45,55,14,40,40,20,0.834917596,11.90054125,89.22646901,8.865516346,105.7590415,-3878.815321,0.840492517,13.39706913,71.46142101,8.046653444,135.807169,-787.0136876,8.865516346,8.865516346,0.818862902,1
46,57,15,40,60,0,0.86080389,9.918827823,95.14940384,8.124013643,94.42839662,6264.367003,0.859844111,12.84808247,78.02920986,8.620158397,125.6781505,-1325.025127,8.66186877,8.66186877,0.041710373,1
47,58,15,40,60,0,0.852411562,10.0512247,99.89850873,8.5590846,94.97376404,7540.724421,0.852152659,11.19174148,91.63885832,8.73966414,112.2758262,-1405.480313,8.73966414,8.73966414,0,1
48,59,15,40,60,0,0.865092751,10.51729024,106.3090525,9.67245637,94.98184335,8684.672972,0.856733254,13.82695847,78.11736681,9.253795085,136.7475095,-572.4596873,9.67245637,9.67245637,0.418661285,1
49,60,16,60,0,40,0.843843311,4.386585368,86.58841377,3.205148691,343.9102966,3107.984802,0.839685151,3.411912765,108.2430058,3.101089037,399.439814,-3054.490238,3.29354464,3.29354464,0.192455603,1
50,61,16,60,0,40,0.848261656,4.339350893,88.07235322,3.24185963,319.5835166,3960.562748,0.838339799,4.069929807,98.74683658,3.369226397,340.234704,-1848.161765,3.518229112,3.518229112,0.149002715,1
51,62,16,60,0,40,0.813616174,4.375504708,81.79522119,2.911894659,365.0636446,-135547.8787,0.819610168,5.991981811,64.00256968,3.143223299,397.474048,-918.8408717,3.447240512,3.447240512,0.304017213,1
52,65,17,60,20,20,0.828844372,3.539303239,102.4672158,3.005908123,274.6022198,17442.30419,0.825190055,2.586795744,126.8473046,2.707680183,322.3341461,-8009.28486,3.007946427,3.007946427,0.300266244,1
53,67,17,60,20,20,0.835319513,4.306702413,95.06143975,3.419809212,257.2145395,5619.792044,0.831657621,3.734314492,101.9733831,3.166957895,345.1725986,-1939.233295,3.486792772,3.486792772,0.319834877,1
