,Unnamed: 0,Filename,Rsh_scaff,Voc (V),Isc (mA),Jsc(mA/cm2),Imax (mA),Vmax (V),Pmax (mW/cm2),FF (%),FF_est (%),PCE (%),Rseries (ohm),Rshunt (ohm),CellArea (cm2),ScanRate (mV/s),ActualScanRate (mV/s),CellNo,CellRow,CellColumn,Condition,meas_time,measurement
10,10,11-Rep_2-2023_10_03-19_10_30-rev-0,95307.28421551356,0.5117191834866426,0.1960111460866286,2.1779016231847623,0.1041739999999999,0.300011,0.031253345914,31.15903883606958,31.15903883606958,0.3472593990444445,1579.3754431719956,1973.821894278448,0.09,60.0,-54.08428132054666,11,B,3,3,2023-10-03 19:10:30,1
11,11,12-Rep_2-2023_10_03-19_11_25-rev-0,70851.19742655038,0.5790935800429118,0.2606467817843416,2.896075353159352,0.1476849999999999,0.336366,0.0496762127099999,32.911476069962006,32.911476069962006,0.5519579189999999,1328.3684194231655,2759.514608109984,0.09,60.0,-54.08417168690859,12,B,4,4,2023-10-03 19:11:25,1
12,12,13-Rep_2-2023_10_03-19_12_20-rev-0,22342.98000532413,0.5677801275755914,0.2695961703066982,2.9955130034077584,0.153452,0.324251,0.049756964452,32.50573351032852,32.50573351032852,0.5528551605777778,1345.5407588199337,2813.598109059037,0.09,60.0,-54.08393622142475,13,B,5,4,2023-10-03 19:12:20,1
13,13,14-Rep_2-2023_10_03-19_13_15-rev-0,35995.77840294817,0.5515574363007348,0.255916668166299,2.8435185351811008,0.1410539999999999,0.312095,0.04402224813,31.187667836443424,31.187667836443424,0.4891360903333333,1413.6285655805889,2577.064443956596,0.09,60.0,-54.083683428021686,14,B,6,4,2023-10-03 19:13:15,1
14,14,15-Rep_2-2023_10_03-19_14_09-rev-0,180850.786596269,0.5618001293368097,0.2190100072269517,2.433444524743908,0.128582,0.324252,0.041692970664,33.88574558010904,33.88574558010904,0.4632552295999999,1471.8732534008009,2877.03160962743,0.09,60.0,-54.08419773528642,15,B,7,4,2023-10-03 19:14:09,1
15,15,16-Rep_2-2023_10_03-19_15_04-rev-0,26827.752249107405,0.5676813286276644,0.2585070263131609,2.872300292368455,0.149831,0.312094,0.046761356114,31.864722111809783,31.864722111809783,0.5195706234888889,1495.6436020321526,3230.489183571496,0.09,60.0,-54.08364413353922,16,B,8,5,2023-10-03 19:15:04,1
16,16,17-Rep_2-2023_10_03-19_15_59-rev-0,14917.070968669526,0.6416474545992173,0.2460262687420173,2.733625208244637,0.140667,0.348517,0.049024840839,31.05547930818596,31.05547930818596,0.5447204537666667,1764.3162606683918,3680.429390683983,0.09,60.0,-54.08420944617659,17,B,9,5,2023-10-03 19:15:59,1
17,17,18-Rep_2-2023_10_03-19_16_55-rev-1,32682.40987790809,0.7492253983881593,0.3345418456753463,3.71713161861496,0.211984,0.433368,0.0918670821119999,36.651941320050085,36.651941320050085,1.0207453567999998,1071.9785867092353,6394.065440760245,0.09,60.0,-54.08400196231247,18,C,1,5,2023-10-03 19:16:55,1
18,18,19-Rep_2-2023_10_03-19_17_50-rev-0,9142.396628304376,0.7244497737160328,0.247880012132295,2.7542223570255,0.156239,0.409099,0.063917218661,35.5932855426479,35.5932855426479,0.7101913184555556,1574.607864521303,6550.098200451174,0.09,60.0,-54.08413190992954,19,C,2,5,2023-10-03 19:17:50,1
19,19,20-Rep_2-2023_10_03-19_18_45-rev-0,136099.02209936356,0.7609746057684411,0.2213697539519524,2.459663932799472,0.132456,0.433368,0.057402191808,34.07532673937517,34.07532673937517,0.6378021312,1667.5892096927498,5904.961937887465,0.09,60.0,-54.08396836543572,20,C,3,6,2023-10-03 19:18:45,1
20,20,21-Rep_2-2023_10_03-19_19_40-rev-0,174732.0223070203,0.8410829134880868,0.1740947229593663,1.934385810659626,0.112772,0.542416,0.061169337152,41.77431687277398,41.77431687277398,0.6796593016888889,1330.3964588295803,13323.399078494904,0.09,60.0,-54.084081769904365,21,C,4,6,2023-10-03 19:19:40,1
21,21,22-Rep_2-2023_10_03-19_20_35-rev-0,516141.3473478735,0.80593905547366,0.2181042755410526,2.4233808393450293,0.14089,0.518214,0.07301117046,41.5358334676607,41.5358334676607,0.8112352273333333,1278.531743899575,10517.022385385497,0.09,60.0,-54.08379279784936,22,C,5,6,2023-10-03 19:20:35,1
22,22,23-Rep_2-2023_10_03-19_21_30-rev-0,3727491.953624972,0.7745138949547838,0.2641305182255483,2.934783535839426,0.1675779999999999,0.469713,0.0787135651139999,38.47705162748752,38.47705162748752,0.8745951679333333,1143.6867773110691,7283.581109245836,0.09,60.0,-54.08407313890114,23,C,6,6,2023-10-03 19:21:30,1
23,23,25-Rep_2-2023_10_03-19_23_19-rev-9,15186.54433527648,0.8525105209060071,1.4865219217143577,16.51691024127064,1.43187,0.603069,0.8635164090299999,68.13959206222444,68.13959206222444,9.594626767,99.40957242033286,-2053.5712332888534,0.09,60.0,-54.08428754236365,25,C,8,7,2023-10-03 19:23:19,1
24,24,27-Rep_2-2023_10_03-19_25_10-rev-9,20889.248940659807,0.8357844758350862,1.6406389233623735,18.22932137069304,1.49362,0.578799,0.86450576238,63.04644187598336,63.04644187598336,9.605619582,100.11437934570384,-3218.1609965895914,0.09,60.0,-54.084324485874816,27,D,1,7,2023-10-03 19:25:10,1
25,25,28-Rep_2-2023_10_03-19_26_05-rev-9,11773.388872983196,0.8451048160370926,1.3962135184336155,15.513483538151284,1.4411999999999998,0.590912,0.8516223744,72.1746435543394,69.9217409233252,9.462470826666667,122.92732522466989,-1299.8391734558445,0.09,60.0,-54.0843416830363,28,D,2,8,2023-10-03 19:26:05,1
26,26,29-Rep_2-2023_10_03-19_27_00-rev-9,13891.583907123217,0.8465419188999413,1.5548758347376126,17.276398163751253,1.4803,0.590912,0.8747270335999999,66.45510773663983,66.45510773663983,9.71918926222222,118.08416901204076,-1188.6458139551903,0.09,60.0,-54.08408721471407,29,D,3,8,2023-10-03 19:27:00,1
27,27,30-Rep_2-2023_10_03-19_27_55-rev-1,13437.905617854049,0.8574944707202286,1.626613359667839,18.0734817740871,1.52627,0.603069,0.92044612263,65.99069607679537,65.99069607679537,10.227179140333332,106.25874195453248,-1378.2923491975268,0.09,60.0,-54.08369096151662,30,D,4,8,2023-10-03 19:27:55,1
28,28,31-Rep_2-2023_10_03-19_28_50-rev-1,9763.747163043685,0.8559824387630469,1.635184112021763,18.168712355797368,1.51064,0.603071,0.91102317544,65.08754808523828,65.08754808523828,10.122479727111113,104.38752816714675,-2571.127132633784,0.09,60.0,-54.08418340876338,31,D,5,8,2023-10-03 19:28:50,1
29,29,33-Rep_2-2023_10_03-19_30_39-rev-9,9645.80108510266,0.8718043871619043,1.002838200377904,11.1426466708656,1.4213,0.615147,0.8743084311,100.00339575876028,70.56020926925663,9.714538123333334,128.3996757561057,-1382.2328823067558,0.09,60.0,-54.08476368378485,33,D,7,9,2023-10-03 19:30:39,1
30,30,35-Rep_2-2023_10_03-19_32_29-rev-9,37421.23837716021,0.8747347375246156,0.8899254864666803,9.888060960740892,1.40457,0.627268,0.8810418147600001,113.17916942843044,71.70951067692658,9.789353497333336,109.79222259882674,-2247.659579818503,0.09,60.0,-54.08415490192179,35,D,9,9,2023-10-03 19:32:29,1
31,31,38-Rep_2-2023_10_03-19_35_15-rev-9,7400.864750812629,0.874697860788748,0.698351351848839,7.7594594649871,1.32826,0.639414,0.84930803964,139.03789774403944,73.10112767663755,9.436755996,95.50509409904464,-5046.049953250115,0.09,60.0,-54.08422579035152,38,E,3,10,2023-10-03 19:35:15,1
32,32,39-Rep_2-2023_10_03-19_36_10-rev-9,16628.62116108664,0.8778090522703585,0.7450420204536841,8.2782446717076,1.32781,0.639414,0.8490203033400001,129.81869921944153,72.84203761014138,9.433558926000002,88.27255807845114,-4472.549418570731,0.09,60.0,-54.08402774000086,39,E,4,10,2023-10-03 19:36:10,1
33,33,41-Rep_2-2023_10_03-19_38_00-rev-7,23152.679792068884,0.880937106796352,0.5489733314543681,6.099703682826313,0.989258,0.687912,0.6805224492959999,140.7169150006424,78.08866202738194,7.561360547733333,74.67728569534609,112555.54893690908,0.09,60.0,-54.08430563577304,41,E,6,11,2023-10-03 19:38:00,1
34,34,42-Rep_2-2023_10_03-19_38_55-rev-7,75304.14322081751,0.8764288588653185,0.5263604187293649,5.848449096992944,0.99659,0.687912,0.68556622008,148.61050747733492,78.4903410061845,7.617402445333334,89.41558969372967,258575.4584564737,0.09,60.0,-54.0841865763243,42,E,7,11,2023-10-03 19:38:55,1
35,35,43-Rep_2-2023_10_03-19_39_50-rev-7,18752.59561423062,0.8774102899651371,0.5247075855895984,5.830084284328871,0.993788,0.675762,0.6715641664559999,145.87049232949585,77.01778834014478,7.461824071733333,91.33796386409036,-210774.95242820887,0.09,60.0,-54.08414131417954,43,E,8,11,2023-10-03 19:39:50,1
36,36,44-Rep_2-2023_10_03-19_40_45-rev-8,45799.73680266735,0.8301168111573515,1.678258285716735,18.6473142857415,1.3453499999999998,0.578798,0.7786858893,55.89388483198932,55.89388483198932,8.652065436666668,107.93272061450008,5491.135185262498,0.09,60.0,-54.084131780830695,44,E,9,12,2023-10-03 19:40:45,1
37,37,45-Rep_2-2023_10_03-19_41_40-rev-8,16409.06855105204,0.8514297481565837,1.4982029157329677,16.64669906369964,1.29049,0.566651,0.73125744899,57.3258951734348,57.3258951734348,8.125082766555556,126.64613149575588,-1342.008649497914,0.09,60.0,-54.08427338086492,45,F,1,12,2023-10-03 19:41:40,1
38,38,46-Rep_2-2023_10_03-19_42_35-rev-8,10088.125798485602,0.8333407750343591,1.6524891088937257,18.360990098819176,1.36611,0.566653,0.7741103298299999,56.21362921340881,56.21362921340881,8.601225887,104.52424456604814,-3287.074946091928,0.09,60.0,-54.08389788247082,46,F,2,12,2023-10-03 19:42:35,1
39,39,47-Rep_2-2023_10_03-19_43_30-rev-8,24496.7218347019,0.8203586932756152,1.6426053216348016,18.251170240386685,1.34075,0.566652,0.759738669,56.38027910155411,56.38027910155411,8.441540766666666,110.91575245436816,11747.167878674358,0.09,60.0,-54.08391286970186,47,F,3,12,2023-10-03 19:43:30,1
40,40,48-Rep_2-2023_10_03-19_44_25-rev-8,33101.38343961974,0.8270417489783009,1.6498962030216466,18.33218003357385,1.35861,0.578798,0.78636075078,57.62856060890326,57.62856060890326,8.737341675333333,116.69821816230534,109011.44518929088,0.09,60.0,-54.08366624868609,48,F,4,13,2023-10-03 19:44:25,1
41,41,51-Rep_2-2023_10_03-19_47_10-rev-8,12722.148748433608,0.831603622500012,1.668653751714481,18.54059724127201,1.39055,0.578799,0.8048489494499999,58.00050565525002,58.00050565525002,8.942766104999999,117.9720981961476,26704.813612596503,0.09,60.0,-54.084090266420255,51,F,7,13,2023-10-03 19:47:10,1
42,42,52-Rep_2-2023_10_03-19_48_05-rev-9,11333.842379592015,0.8286930366113482,1.544270391690263,17.158559907669588,1.46197,0.590911,0.86389415467,67.50617503288868,67.50617503288868,9.59882394077778,97.34450668325432,-579.5425121448078,0.09,60.0,-54.08411378576925,52,F,8,14,2023-10-03 19:48:05,1
43,43,53-Rep_2-2023_10_03-19_48_59-rev-9,7450.189530645965,0.8478045432554554,1.3720055891862055,15.244506546513396,1.40505,0.590911,0.8302595005499999,71.3776480884232,69.69896595870803,9.225105561666666,105.22421195448705,-777.7862442643661,0.09,60.0,-54.0841596470836,53,F,9,14,2023-10-03 19:48:59,1
44,44,54-Rep_2-2023_10_03-19_49_55-rev-9,19538.69404980982,0.8683534727939227,1.0961915995641334,12.179906661823704,1.42704,0.615145,0.8778365208000002,92.22117043275394,70.84039153097117,9.753739120000002,117.07764899508643,-3344.442839720699,0.09,60.0,-54.08382674334637,54,G,1,14,2023-10-03 19:49:55,1
45,45,55-Rep_2-2023_10_03-19_50_50-rev-8,6156.757491700474,0.8349175961638767,1.0710487124014354,11.90054124890484,1.32306,0.603069,0.79789647114,89.22646900778007,72.23096060867188,8.865516346,105.75904150118366,-3878.8153214836407,0.09,60.0,-54.08385247609987,55,G,2,14,2023-10-03 19:50:50,1
46,46,57-Rep_2-2023_10_03-19_52_40-rev-8,23700.469866401345,0.8608038900134858,0.8926945040446248,9.918827822718054,1.14349,0.639412,0.73116122788,95.1494038448785,74.28079814903981,8.124013643111113,94.42839662096708,6264.367002718751,0.09,60.0,-54.08445038447824,57,G,4,15,2023-10-03 19:52:40,1
47,47,58-Rep_2-2023_10_03-19_53_35-rev-8,10410.672982841565,0.8524115618299432,0.90461022344887,10.051224704987444,1.20473,0.639411,0.77031761403,99.89850873158022,75.01200460342454,8.559084600333334,94.97376404308228,7540.724421318629,0.09,60.0,-54.08374363880387,58,G,5,15,2023-10-03 19:53:35,1
48,48,59-Rep_2-2023_10_03-19_54_30-rev-9,24622.4484064595,0.8650927508545311,0.946556121889659,10.517290243218431,1.36144,0.639412,0.87052107328,106.30905248564513,73.91253705089939,9.672456369777777,94.98184334620916,8684.67297238846,0.09,60.0,-54.08462544982109,59,G,6,15,2023-10-03 19:54:30,1
49,49,60-Rep_2-2023_10_03-19_55_25-rev-3,197925.20403546773,0.8438433113859726,0.3947926831361405,4.38658536817934,0.509068,0.56665,0.2884633822,86.58841377038547,67.1510921937989,3.205148691111112,343.9102965997326,3107.984801970335,0.09,60.0,-54.0840054921743,60,G,7,16,2023-10-03 19:55:25,1
50,50,61-Rep_2-2023_10_03-19_56_20-rev-3,71076.01710198763,0.8482616557802324,0.3905415803856352,4.339350893173725,0.5040910000000001,0.578799,0.291767366709,88.07235322027284,68.23354516332813,3.2418596301,319.5835165956244,3960.562747911023,0.09,60.0,-54.08401330363338,61,G,8,16,2023-10-03 19:56:20,1
51,51,62-Rep_2-2023_10_03-19_57_15-rev-2,45925.34109859479,0.8136161736145935,0.3937954237486495,4.375504708318329,0.483155,0.542415,0.262070519325,81.79522119029754,66.66718504258,2.9118946591666663,365.0636445516406,-135547.87871101042,0.09,60.0,-54.08407720981193,62,G,9,16,2023-10-03 19:57:15,1
52,52,65-Rep_2-2023_10_03-20_00_00-rev-3,49737.97655357311,0.828844371898021,0.3185372915013105,3.53930323890345,0.457823,0.590909,0.2705317311069999,102.46721576633357,71.29311847130502,3.005908123411111,274.6022197500269,17442.304192536976,0.09,60.0,-54.08367871586749,65,H,3,17,2023-10-03 20:00:00,1
53,53,67-Rep_2-2023_10_03-20_01_50-rev-3,48270.79312099433,0.835319512890866,0.3876032172141983,4.3067024134910925,0.531763,0.578797,0.307782829111,95.06143975285693,69.29049196958236,3.419809212344445,257.21453948454933,5619.79204449624,0.09,60.0,-54.08416067880557,67,H,5,17,2023-10-03 20:01:50,1
54,54,68-Rep_2-2023_10_03-20_02_45-rev-4,25707.477587462752,0.8385342439720814,0.4888731901439611,5.431924334932901,0.619575,0.590911,0.366113682825,89.30976281817469,70.46951323071714,4.067929809166667,195.20712426741468,8592.838086024733,0.09,60.0,-54.08401768570735,68,H,6,18,2023-10-03 20:02:45,1
55,55,69-Rep_2-2023_10_03-20_03_40-rev-4,78382.40790239864,0.8370203843013223,0.4502011891797194,5.002235435330216,0.5940789999999999,0.615144,0.365444132376,96.97913824823884,73.49211698272714,4.0604903597333335,175.67483871684436,8265.86098023103,0.09,60.0,-54.08378143107413,69,H,7,18,2023-10-03 20:03:40,1
56,56,70-Rep_2-2023_10_03-20_04_34-rev-4,55590.45140037123,0.8335266782764474,0.4660194291731046,5.1779936574789405,0.586659,0.615143,0.360879177237,92.9048305909948,73.80003736316904,4.009768635966667,169.20862222098134,11851.642711541428,0.09,60.0,-54.083876199940605,70,H,8,18,2023-10-03 20:04:34,1
57,57,74-Rep_2-2023_10_03-20_08_15-rev-0,158247.31399096505,0.7421391906414724,0.0747241299234405,0.830268110260451,0.0900775,0.590909,0.0532276054475,95.98219904858172,79.62239529342794,0.5914178383055556,927.748001962813,39581.12878267864,0.09,60.0,-54.08401580612312,74,I,3,19,2023-10-03 20:08:15,1
58,58,76-Rep_2-2023_10_03-20_10_05-rev-0,13535.616362130057,0.739415587543354,0.0808285327636474,0.8980948084849719,0.0878572,0.603068,0.0529838658896,88.65236906146168,81.56008747443947,0.5887096209955556,810.0748562572062,64831.45358013504,0.09,60.0,-54.08405279265459,76,I,5,20,2023-10-03 20:10:05,1
59,59,79-Rep_2-2023_10_03-20_12_49-rev-0,7179.097616307541,0.7138467061244121,0.0962183587962023,1.0690928755133589,0.0681579,0.590911,0.0402752528469,58.63748985833284,58.63748985833284,0.44750280941,908.1765688567218,28037.702273794355,0.09,60.0,-54.084140012471366,79,I,8,20,2023-10-03 20:12:49,1
60,60,80-Rep_2-2023_10_03-20_13_44-rev-0,13291.61955686034,0.5422093809678187,0.0316369817596045,0.3515220195511618,0.0159889,0.312095,0.0049900557455,29.08997352387296,29.08997352387296,0.0554450638388888,8181.793030771707,19492.40912985715,0.09,60.0,-54.08376139513428,80,I,9,21,2023-10-03 20:13:44,1
61,61,00-Rep_2-2023_10_04-10_58_33-rev-0,48620.57612391469,0.7080109162677547,0.2435365308326272,2.7059614536958576,0.136316,0.530298,0.072288102168,41.92400402629298,41.92400402629298,0.8032011352,722.2074016627057,4677.0678877583305,0.09,60.0,-54.084018402824285,0,A,1,1,2023-10-04 10:58:33,2
62,62,01-Rep_2-2023_10_04-10_59_28-rev-0,10780.380655458395,0.5677042347272047,0.1926216970097549,2.1402410778861656,0.112355,0.336368,0.03779262664,34.56047784256735,34.56047784256735,0.4199180737777777,1343.0978954438897,3302.04359789976,0.09,60.0,-54.08431553268781,1,A,2,1,2023-10-04 10:59:28,2
63,63,02-Rep_2-2023_10_04-11_00_23-rev-0,1863904.302443052,0.5942991412020455,0.2010618065421033,2.2340200726900377,0.116572,0.348519,0.040627556868,34.000556379621415,34.000556379621415,0.4514172985333333,1245.20563834034,2919.943863804778,0.09,60.0,-54.08446241781152,2,A,3,1,2023-10-04 11:00:23,2
64,64,03-Rep_2-2023_10_04-11_01_18-rev-0,3727682.949445945,0.6048501517401229,0.2090054479140543,2.322282754600604,0.12283,0.348518,0.04280846594,33.8629090765485,33.8629090765485,0.4756496215555555,1172.2437824258295,2895.3111335306853,0.09,60.0,-54.08439346428893,3,A,4,1,2023-10-04 11:01:18,2
65,65,04-Rep_2-2023_10_04-11_02_13-rev-0,88518.20235844112,0.6211826282574928,0.2020194642119028,2.244660713465588,0.1219809999999999,0.360597,0.043985982657,35.05111048435467,35.05111048435467,0.4887331406333334,1228.2881953378926,3099.8037763848474,0.09,60.0,-54.084393447586194,4,A,5,2,2023-10-04 11:02:13,2
66,66,05-Rep_2-2023_10_04-11_03_08-rev-0,798745.8811777196,0.6225130369257266,0.198622782558852,2.206919806209467,0.1195519999999999,0.360599,0.0431103316479999,34.86613851013782,34.86613851013782,0.4790036849777777,1257.1611274927614,3290.963669162978,0.09,60.0,-54.08410180598155,5,A,6,2,2023-10-04 11:03:08,2
67,67,06-Rep_2-2023_10_04-11_04_03-rev-0,112958.65372797757,0.6567195328547242,0.2412220366661154,2.680244851845728,0.147358,0.396953,0.058494200174,36.9246079890508,36.9246079890508,0.6499355574888889,899.609114984539,3499.4897609488576,0.09,60.0,-54.08422978029929,6,A,7,2,2023-10-04 11:04:03,2
68,68,07-Rep_2-2023_10_04-11_04_58-rev-0,20902.22704869601,0.6315839481315959,0.2561709142447023,2.8463434916078034,0.151575,0.384862,0.05833545765,36.05551534226675,36.05551534226675,0.6481717516666666,903.7172856049192,2999.6058859684986,0.09,60.0,-54.08407183992499,7,A,8,2,2023-10-04 11:04:58,2
69,69,09-Rep_2-2023_10_04-11_06_48-rev-0,21728.27301499639,0.5054419573473631,0.2145829278080457,2.3842547534227303,0.1233519999999999,0.2879,0.0355130408,32.74322129787481,32.74322129787481,0.3945893422222222,1420.568554537524,1987.620292288159,0.09,60.0,-54.08423506496749,9,B,1,3,2023-10-04 11:06:48,2
70,70,10-Rep_2-2023_10_04-11_07_43-rev-0,8124.937660380234,0.3981274090815274,0.1632572565379186,1.8139695170879848,0.085324,0.227249,0.019389793676,29.83174211964518,29.83174211964518,0.2154421519555555,1554.657899862373,1669.086330012952,0.09,60.0,-54.08386163521081,10,B,2,3,2023-10-04 11:07:43,2
71,71,11-Rep_2-2023_10_04-11_08_38-rev-0,95307.28421551356,0.4702061395477419,0.1947122473470664,2.163469414967405,0.106096,0.263667,0.027974014032,30.55436226802064,30.55436226802064,0.3108223781333333,1555.0280251836607,1654.8492391188174,0.09,60.0,-54.083856104509714,11,B,3,3,2023-10-04 11:08:38,2
72,72,12-Rep_2-2023_10_04-11_09_33-rev-0,70851.19742655038,0.4749231532577116,0.2090871363381182,2.323190403756869,0.111982,0.263667,0.029525957994,29.734000223741784,29.734000223741784,0.3280661999333333,1575.054374945074,1965.589316751964,0.09,60.0,-54.08430716309958,12,B,4,4,2023-10-04 11:09:33,2
73,73,13-Rep_2-2023_10_04-11_10_28-rev-0,22342.98000532413,0.4852532380842266,0.2284379895655167,2.5381998840612967,0.124454,0.263666,0.032814288364,29.60235201864625,29.60235201864625,0.3646032040444444,1494.0972118844895,1805.636323092183,0.09,60.0,-54.08373424609451,13,B,5,4,2023-10-04 11:10:28,2
74,74,14-Rep_2-2023_10_04-11_11_23-rev-0,35995.77840294817,0.4663425302548025,0.2153924604391914,2.39324956043546,0.116646,0.251512,0.029337868752,29.20740947674693,29.20740947674693,0.3259763194666666,1528.7621767286869,1827.760786583213,0.09,60.0,-54.08369926681035,14,B,6,4,2023-10-04 11:11:23,2
75,75,15-Rep_2-2023_10_04-11_12_18-rev-0,180850.786596269,0.4389431476023085,0.1702774583867576,1.8919717598528625,0.090152,0.2394,0.0215823887999999,28.87580359629573,28.87580359629573,0.23980432,1808.210164751079,1891.270070679444,0.09,60.0,-54.08404212920048,15,B,7,4,2023-10-04 11:12:18,2
76,76,16-Rep_2-2023_10_04-11_13_13-rev-0,26827.752249107405,0.4329144875665981,0.1779470587915865,1.9771895421287395,0.0925809,0.227251,0.0210391021059,27.31079028456604,27.31079028456604,0.2337678011766666,1966.8046536179604,1896.8804241771336,0.09,60.0,-54.08394950029679,16,B,8,5,2023-10-04 11:13:13,2
77,77,17-Rep_2-2023_10_04-11_14_08-rev-0,14917.070968669526,0.5967372634524039,0.2345315106905776,2.6059056743397515,0.126377,0.336365,0.042508799605,30.373474992414973,30.373474992414973,0.4723199956111111,1605.3814754394823,2390.238190879493,0.09,60.0,-54.08407384686813,17,B,9,5,2023-10-04 11:14:08,2
78,78,18-Rep_2-2023_10_04-11_15_03-rev-0,32682.40987790809,0.63935781009266,0.2578112586789651,2.86456954087739,0.146449,0.360599,0.052809362951,32.037976219623815,32.037976219623815,0.5867706994555556,1350.0035599803546,2966.5054132950604,0.09,60.0,-54.08421521186952,18,C,1,5,2023-10-04 11:15:03,2
79,79,19-Rep_2-2023_10_04-11_15_58-rev-0,9142.396628304376,0.6042245011891887,0.2283863144049032,2.5376257156100364,0.127882,0.348517,0.044569050994,32.29720787727862,32.29720787727862,0.4952116777111112,1507.9444852425622,3432.092938977368,0.09,60.0,-54.08400396813107,19,C,2,5,2023-10-04 11:15:58,2
80,80,20-Rep_2-2023_10_04-11_16_53-rev-0,136099.02209936356,0.6089707665472402,0.2615810210794482,2.9064557897716465,0.151724,0.336365,0.05103464326,32.03777947308594,32.03777947308594,0.5670515917777778,1441.6476532871134,3149.6547412053933,0.09,60.0,-54.08406176139794,20,C,3,6,2023-10-04 11:16:53,2
81,81,21-Rep_2-2023_10_04-11_17_48-rev-0,174732.0223070203,0.6054254065704093,0.2181595979770089,2.423995533077877,0.12292,0.336365,0.0413459858,31.303895450582864,31.303895450582864,0.4593998422222222,1808.864801913827,4181.670127250028,0.09,60.0,-54.084041960564605,21,C,4,6,2023-10-04 11:17:48,2
82,82,22-Rep_2-2023_10_04-11_18_43-rev-0,516141.3473478735,0.6318438025543373,0.2579284523625655,2.865871692917396,0.1464039999999999,0.348518,0.0510244292719999,31.308998322121155,31.308998322121155,0.5669381030222221,1673.8344867267335,3864.162846540447,0.09,60.0,-54.0839421427679,22,C,5,6,2023-10-04 11:18:43,2
